quality,count,bpp,psnr,msssim
1,1000,0.13078260022083918,27.138558382065366,0.6950235118120909
2,1000,0.2002980939504835,27.51775051769403,0.7402471704781055
3,1000,0.30026465971840754,28.34117569462947,0.783901763767004
4,1000,0.45144222330093386,29.022639209958115,0.8235500476360321
5,1000,0.6765830978329976,28.959709937410583,0.856559592962265
6,1000,1.0453232653999327,28.786469525968243,0.8816963077783585
7,1000,1.5509202934159174,29.452804251966217,0.9051353937387466
8,1000,2.201606218541463,28.04662570515542,0.9140444913506508
