lambda,count,bpp,psnr,msssim
10,1000,0.19003867172982958,29.905546100278546,0.8516265456229448
25,1000,0.554080409711202,31.066402524163216,0.8791750701069831
50,1000,0.6490245160473717,31.252105944314327,0.8863058736026287
100,1000,1.4443259240553117,32.76457962783094,0.913670033544302
250,1000,2.3005512132210204,33.24393424663677,0.9230776954889297
500,1000,2.96914816401667,33.45090326006296,0.9234163476228714
1000,1000,3.6593009671868217,33.602988930122144,0.9257327452003956
10000,1000,4.799160989201863,33.38080320193632,0.9221917428970337
