quality,count,bpp,psnr,msssim
10,1000,0.4057338888888889,27.221151258975635,0.6755131914615631
20,1000,0.6123399999999999,29.360096650066524,0.7631352156996727
30,1000,0.7913605555555555,30.40038911120807,0.8010161207020283
40,1000,0.9424538888888888,31.085075917601742,0.8218364788889885
50,1000,1.0852144444444443,31.630360981743404,0.8365013380944729
60,1000,1.2368594444444445,32.094373577708275,0.8486315046548843
70,1000,1.465597777777778,32.68387488046522,0.8629504674077034
80,1000,1.8379788888888888,33.456937132307104,0.879234122633934
90,1000,2.7091111111111115,34.69344408175761,0.9013219122290611
100,1000,7.402435555555556,39.0139846004061,0.9549783537983895
