lambda,count,bpp,psnr,msssim
10,1000,0.19003867167896696,29.90554591024087,0.8516265397518873
25,1000,0.5540804097790188,31.066402083808196,0.8791750635504723
50,1000,0.6490245160134633,31.252106253305946,0.8863058752119541
100,1000,1.4443259239196777,32.764579458870166,0.9136700328588486
250,1000,2.3005512132210204,33.24393475649762,0.9230776942968368
500,1000,2.96914816401667,33.45090328320421,0.9234163477420807
1000,1000,3.6593009671868217,33.60298878122057,0.9257327410578727
10000,1000,4.799160988116793,33.38080341037014,0.9221917433142662
